""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_0298"	29.2047410353317	31.7382491215198	24.5676668117794	33.6268442844719	-0.356042969795664	0.41108798674228	-0.866099183819923	0.386435772752094	NA
"Tery_0306"	4.98998327498341	3.82822763088216	6.74616352453074	3.51746854476367	0.919370771297424	0.978379511609707	0.939687268987065	0.347377997310418	NA
"Tery_0321"	29.8293613313416	35.7217119250347	30.7923569496083	22.4925173102485	-0.21934599004732	0.385604006933972	-0.568837424152801	0.569466474706191	NA
"Tery_0327"	10.1523544693092	6.49246345523639	12.0349947062771	10.9882851279301	1.03041945881787	0.723068385587883	1.42506501370559	0.154138408790686	NA
"Tery_0328"	6.21679265529954	5.56132440765769	7.81876986206642	4.46929509279106	0.456516264294497	0.783608200525529	0.582582295576199	0.560174526597041	NA
"Tery_0329"	3.10301964933727	1.24160939284434	5.86605426859792	0.819877976939206	2.00833343286872	1.25036553934765	1.60619704371933	0.108230622709776	NA
"Tery_0330"	6.2988544153824	3.98346280351498	9.01817218132552	4.53526937833515	1.11759885467165	0.914120812844777	1.22259425555977	0.221482983872688	NA
"Tery_0336"	22.0127573082031	16.6063556366567	24.142737924809	24.2241880548406	0.51819269951594	0.485106991177467	1.06820290975021	0.285428992522488	NA
"Tery_0346"	17.4129798480532	16.295885291391	15.9791767812586	20.6807790049074	-0.0270709075674456	0.542734499216544	-0.0498787300356314	0.960219027174533	NA
"Tery_0353"	4.93835896257754	5.74234144632324	4.32713232664983	5.05121643272342	-0.281706241867562	0.890740406729759	-0.316260764347506	0.751804589391537	NA
"Tery_0361"	12.4382360734787	10.4501443927186	13.7957316131035	12.3900844448017	0.351337918512139	0.604723469327525	0.580989388261779	0.561247605548105	NA
"Tery_0364"	27.6017680216027	19.4516084996764	32.8712766069401	27.8476646655229	0.791730544290471	0.435402320833044	1.81838843388725	0.0690047848910301	NA
"Tery_0388"	3.65543939790401	4.99221943741009	2.42430285667587	4.16536417024012	-0.885251195117068	1.03975174082161	-0.851406312065942	0.394543686626018	NA
"Tery_0389"	15.5026958676695	11.3812834402973	16.6406252966714	17.9172141515388	0.553593039357987	0.5492205012062	1.00796135275756	0.313473015975117	NA
"Tery_0391"	3.76323164504631	4.16447984218053	4.16217737474201	2.76356485336856	0.212104152937311	1.15747025578617	0.183248037586285	0.854603403912016	NA
"Tery_0393"	10.5314751159604	9.36377017250713	10.8907501693075	11.1602674793929	0.133231821165642	0.676889080299128	0.196829621046279	0.843960870283957	NA
"Tery_0406"	14.1790762055743	14.2007544372844	16.1064911579427	11.2662755453116	0.181254729834608	0.535990106324187	0.338168051417311	0.735236550333563	NA
"Tery_0412"	29.4176968194295	47.0511596450484	23.2573570100812	21.0247437078329	-0.989920302160333	0.397469800258477	-2.49055475791263	0.0127543840396767	NA
"Tery_0421"	4.57632927105089	7.73407284808073	4.70217509012573	1.22981696540881	-0.626160164369326	0.883226157194834	-0.708946580973144	0.478357627217665	NA
"Tery_0427"	17.6867479675697	17.0202254342714	17.4135732123834	18.7630326336475	0.0354452319726121	0.54399982838324	0.0651566969753554	0.948049238633624	NA
"Tery_0431"	28.96351084029	24.650898830003	28.8804361557216	33.4007348774295	0.194939768456248	0.45807325145956	0.425564618399156	0.670425126510398	NA
"Tery_0460"	24.7500849632713	23.357453716875	21.9030246615435	30.4133066622592	-0.0580420577400422	0.440603913278536	-0.131732960127728	0.895195514282922	NA
"Tery_0461"	8.70517193227711	9.31193445222344	8.39165488883956	8.56868497748709	-0.171358045064406	0.77614773289476	-0.220780191453115	0.82526358793982	NA
"Tery_0509"	32.1801598258689	44.2059067820286	28.2151679751912	26.1019006457258	-0.639241246281028	0.417667336466678	-1.53050332278504	0.12589219162764	NA
